,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
90,91,91,꽃을 보듯 너를 본다 :나태주 인터넷 시집 ,지은이: 나태주,지혜,2015,9791157280292,03810,,811.7,문학 > 한국문학 > 시,121,https://bookthumb-phinf.pstatic.net/cover/092/206/09220655.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=2889104
91,92,91,미드나잇 선 ,스테프니 메이어 지음 ;심연희 옮김,미래엔,2020,9791164137077,04840,1,843.6,문학 > 영미문학 > 소설,121,https://image.aladin.co.kr/product/25811/0/cover/k852736333_1.jpg,https://data4library.kr/bookV?seq=5828032
92,93,93,살고 싶다는 농담 :허지웅 에세이 ,지은이: 허지웅,웅진씽크빅,2020,9788901244600,03810,,814.7,문학 > 한국문학 > 수필,120,https://image.aladin.co.kr/product/24839/85/cover/8901244608_1.jpg,https://data4library.kr/bookV?seq=5735384
93,94,94,오늘은 이만 좀 쉴게요 ,지은이: 손힘찬 ;삽화: 이다영,부크럼 출판사,2019,9791162141786,03800,,818,문학 > 한국문학 > 르포르타주 및 기타,119,https://image.aladin.co.kr/product/16316/9/cover/k972533342_1.jpg,https://data4library.kr/bookV?seq=3841754
94,95,95,1cm 다이빙 ,"지은이: 장태수,조문정",Fika(피카),2020,9791190299060,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,117,https://image.aladin.co.kr/product/22869/54/cover/k012636849_1.jpg,https://data4library.kr/bookV?seq=5588452
95,96,96,동급생 ,프레드 울만 지음 ;황보석 옮김,열린책들,2017,9788932918143,03840,,843.5,문학 > 영미문학 > 소설,116,http://image.aladin.co.kr/product/10217/55/cover/8932918147_1.jpg,https://data4library.kr/bookV?seq=3412255
96,97,96,보건교사 안은영 :정세랑 장편소설 ,지은이: 정세랑,민음사,2020,9788937479953,03810,,813.7,문학 > 한국문학 > 소설,116,https://image.aladin.co.kr/product/25128/11/cover/8937479958_1.jpg,https://data4library.kr/bookV?seq=5767524
97,98,98,인간 실격,다자이 오사무 지음;김춘미 옮김,민음사,2004,9788937461033,04830,103,833.6,문학 > 일본문학 > 소설,114,https://bookthumb-phinf.pstatic.net/cover/001/510/00151055.jpg?type=m1&udate=20130129,https://data4library.kr/bookV?seq=2376187
98,99,99,트렌드 코리아 2021 :팬데믹 위기에 대응하는 전략은 무엇인가? ,"지은이: 김난도,한다혜",미래의창,2020,9788959896837,13320,2021,320.911,사회과학 > 경제학 > 경제학,113,https://image.aladin.co.kr/product/25208/12/cover/8959896837_2.jpg,https://data4library.kr/bookV?seq=5772083
99,100,99,(비전공자를 위한 이해할 수 있는) IT 지식 ,최원영 지음,T.W.I.G(티더블유아이지),2020,9791196918033,13000,,004,총류 > 총류 > 전산학,113,https://image.aladin.co.kr/product/24606/45/cover/k662631176_1.jpg,https://data4library.kr/bookV?seq=5708360
