,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
152,153,152,"규칙 없음 :넷플릭스, 지구상 가장 빠르고 유연한 기업의 비밀 ","리드 헤이스팅스,이경남 옮김",RHK(알에이치코리아),2020,9788925599632,03320,,325.1,사회과학 > 경제학 > 경영관리,92,https://image.aladin.co.kr/product/24790/60/cover/8925599635_2.jpg,https://data4library.kr/bookV?seq=5747523
153,154,152,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 ,유현준 지음,을유문화사,2020,9788932474274,03540,,540.04,기술과학 > 건축공학 > 건축공학,92,https://image.aladin.co.kr/product/23776/63/cover/8932474273_1.jpg,https://data4library.kr/bookV?seq=5652913
154,155,152,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석,문학동네,2015,9788954637756,03300,,304,"사회과학 > 사회과학 > 강연집, 수필집, 연설문집",92,https://bookthumb-phinf.pstatic.net/cover/095/957/09595780.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=2869604
155,156,152,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129815,04840,1,843.6,문학 > 영미문학 > 소설,92,https://bookthumb-phinf.pstatic.net/cover/134/282/13428208.jpg?type=m1&udate=20180331,https://data4library.kr/bookV?seq=3723218
156,157,152,"여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우",위즈덤하우스,2019,9791189709815,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,92,https://image.aladin.co.kr/product/18228/18/cover/s292534548_1.jpg,https://data4library.kr/bookV?seq=5367455
157,158,158,두 번째 지구는 없다 ,글·그림: 타일러 라쉬,RHK(알에이치코리아),2020,9788925556253,03300,,539.92,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학",91,https://image.aladin.co.kr/product/24615/44/cover/8925556251_1.jpg,https://data4library.kr/bookV?seq=5709275
158,159,158,죽여 마땅한 사람들 ,피터 스완슨 지음 ;노진선 옮김,푸른숲,2016,9791156756552,03840,,843.6,문학 > 영미문학 > 소설,91,https://bookthumb-phinf.pstatic.net/cover/107/698/10769874.jpg?type=m1&udate=20171128,https://data4library.kr/bookV?seq=3202062
159,160,160,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음,웅진씽크빅,2018,9788901223032,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,90,http://image.aladin.co.kr/product/14231/53/cover/8901223031_1.jpg,https://data4library.kr/bookV?seq=3743307
160,161,160,이만큼 가까이 :정세랑 장편소설 ,지은이: 정세랑,창비,2014,9788936434106,03810,,813.7,문학 > 한국문학 > 소설,90,http://image.aladin.co.kr/product/3819/1/cover/8936434101_1.jpg,https://data4library.kr/bookV?seq=2028188
161,162,160,네 이웃의 식탁 :구병모 장편소설 ,지은이: 구병모,민음사,2018,9788937473197,04810,,813.7,문학 > 한국문학 > 소설,90,https://image.aladin.co.kr/product/14953/80/cover/8937473194_1.jpg,https://data4library.kr/bookV?seq=3766378
162,163,160,용의자 X의 헌신 ,히가시노 게이고 지음 ;양억관 옮김,재인,2017,9788990982704,03830,,833.6,문학 > 일본문학 > 소설,90,https://bookthumb-phinf.pstatic.net/cover/124/818/12481857.jpg?type=m1&udate=20170914,https://data4library.kr/bookV?seq=3541024
163,164,160,IT 좀 아는 사람 :비전공자도 IT 전문가처럼 생각하는 법 ,"닐 메타,김고명 옮김",윌북,2021,9791155813355,03320,,004,총류 > 총류 > 전산학,90,https://image.aladin.co.kr/product/26094/5/cover/k792737250_2.jpg,https://data4library.kr/bookV?seq=5851202
164,165,160,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅,바이포엠,2020,9791196814342,03830,,833.6,문학 > 일본문학 > 소설,90,https://image.aladin.co.kr/product/23456/61/cover/k612638684_1.jpg,https://data4library.kr/bookV?seq=5611361
165,166,166,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2018,9788932473901,03470,,491.51,자연과학 > 동물학 > 일반 동물학,89,https://image.aladin.co.kr/product/17048/25/cover/8932473900_1.jpg,https://data4library.kr/bookV?seq=3921678
166,167,167,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,9788982814471,03860,,879,문학 > 스페인문학 > 포르투갈문학,88,http://image.aladin.co.kr/product/30/73/cover/8982814477_2.jpg,https://data4library.kr/bookV?seq=126479
167,168,167,(비울수록 사람을 더 채우는) 말그릇 ,김윤나 지음,카시오페아,2017,9791185952987,03190,,189.2,철학 > 심리학 > 응용심리학 일반,88,https://image.aladin.co.kr/product/15652/80/cover/k282533034_1.jpg,https://data4library.kr/bookV?seq=3614517
168,169,167,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김",인플루엔셜,2016,9791186560129,03180,2,189.2,철학 > 심리학 > 응용심리학 일반,88,http://image.aladin.co.kr/product/8123/68/cover/k782434140_2.jpg,https://data4library.kr/bookV?seq=3139929
169,170,170,아가미 :구병모 장편소설 ,지은이: 구병모,자음과모음,2011,9788957075425,03810,,813.7,문학 > 한국문학 > 소설,87,http://image.aladin.co.kr/product/1103/66/cover/8957075429_1.jpg,https://data4library.kr/bookV?seq=1156213
170,171,171,오직 두 사람 :김영하 소설 ,지은이: 김영하,문학동네,2017,9788954645614,03810,,813.62,문학 > 한국문학 > 소설,86,http://image.aladin.co.kr/product/10949/50/cover/8954645615_2.jpg,https://data4library.kr/bookV?seq=3440172
171,172,171,천문학자는 별을 보지 않는다 ,심채경 지음,문학동네,2021,9788954677257,03810,,440.4,자연과학 > 천문학 > 천문학,86,https://image.aladin.co.kr/product/26429/15/cover/8954677258_1.jpg,https://data4library.kr/bookV?seq=5926266
172,173,171,체공녀 강주룡 :박서련 장편소설 ,지은이: 박서련,한겨레출판,2018,9791160401745,03810,,813.7,문학 > 한국문학 > 소설,86,https://image.aladin.co.kr/product/15651/44/cover/k712533032_1.jpg,https://data4library.kr/bookV?seq=3836280
173,174,174,항구의 사랑 :김세희 장편소설 ,지은이: 김세희,민음사,2019,9788937473210,04810,,813.7,문학 > 한국문학 > 소설,85,https://image.aladin.co.kr/product/19386/22/cover/k232635112_1.jpg,https://data4library.kr/bookV?seq=5428404
174,175,174,실패를 사랑하는 직업 :요조 산문 ,지은이: 요조,마음산책,2021,9788960906600,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,85,https://image.aladin.co.kr/product/26212/83/cover/8960906603_2.jpg,https://data4library.kr/bookV?seq=5853174
175,176,174,지적 대화를 위한 넓고 얕은 지식,채사장 지음,한빛비즈,2014,9788994120966,13100,,001.3,"총류 > 총류 > 지식, 학문 일반",85,https://bookthumb-phinf.pstatic.net/cover/084/030/08403038.jpg?type=m1&udate=20171223,https://data4library.kr/bookV?seq=2396928
176,177,177,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,9788932916194,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,84,https://bookthumb-phinf.pstatic.net/cover/072/647/07264703.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=1959802
177,178,177,복자에게 :김금희 장편소설 ,지은이: 김금희,문학동네,2020,9788954674492,03810,,813.7,문학 > 한국문학 > 소설,84,https://image.aladin.co.kr/product/24977/7/cover/8954674496_1.jpg,https://data4library.kr/bookV?seq=5744698
178,179,177,악의 :히가시노 게이고 장편소설 ,히가시노 게이고 [지음] ;양윤옥 옮김,현대문학,2008,9788972754190,03830,,833.6,문학 > 일본문학 > 소설,84,http://image.aladin.co.kr/product/236/71/cover/8972754196_1.jpg,https://data4library.kr/bookV?seq=2220808
179,180,177,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2019,9788984373853,,,863,문학 > 프랑스문학 > 소설,84,https://image.aladin.co.kr/product/21672/22/cover/8984373850_1.jpg,https://data4library.kr/bookV?seq=5521989
180,181,177,우리는 이 별을 떠나기로 했어 ,"지은이: 천선란,이루카",허블,2021,9791190090377,03810,,813.7,문학 > 한국문학 > 소설,84,https://image.aladin.co.kr/product/26564/99/cover/k142738031_1.jpg,https://data4library.kr/bookV?seq=5930246
181,182,182,넛지 :똑똑한 선택을 이끄는 힘 ,"리처드 탈러,안진환 옮김",웅진씽크빅,2009,9788901093154,03320,,321.89,사회과학 > 경제학 > 경제각론,83,http://image.aladin.co.kr/product/358/75/cover/8901093154_3.jpg,https://data4library.kr/bookV?seq=2299430
182,183,182,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,유목민 지음,웅진씽크빅,2019,9788901230801,03320,,327.856,사회과학 > 경제학 > 금융,83,https://image.aladin.co.kr/product/18899/99/cover/8901230801_1.jpg,https://data4library.kr/bookV?seq=5393932
183,184,182,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가 ,지은이: 마이클 샌델 ;옮긴이: 안기순,미래엔,2012,9788937833663,03330,,193,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",83,http://image.aladin.co.kr/product/1649/71/cover/8937833662_1.jpg,https://data4library.kr/bookV?seq=1835820
184,185,182,외국어 학습·교수의 원리 ,지은이: H. Douglas Brown ;이성희,피어슨 에듀케이션 코리아,2015,9791130629636,13740,,707,"언어 > 언어 > 지도법, 연구법 및 교육, 교육재료",83,https://image.aladin.co.kr/product/24054/10/cover/k772639730_2.jpg,https://data4library.kr/bookV?seq=5668706
185,186,182,숙명 ,히가시노 게이고 지음 ;권남희 옮김,소미미디어,2020,9791165077259,03830,,833.6,문학 > 일본문학 > 소설,83,https://image.aladin.co.kr/product/23975/96/cover/k162639017_1.jpg,https://data4library.kr/bookV?seq=5662335
186,187,187,트라우마 사전 :작가를 위한 캐릭터 창조 가이드 ,"안젤라 애커만,임상훈 옮김",윌북,2020,9791155812662,03600,,802,"문학 > 문학 > 문장작법, 수사학",82,https://image.aladin.co.kr/product/23823/66/cover/k452639288_1.jpg,https://data4library.kr/bookV?seq=5656170
187,188,188,"나는 풍요로웠고, 지구는 달라졌다 ",지은이: 호프 자런 ;옮긴이: 김은령,김영사,2020,9788934990307,03450,,539.9,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학",81,https://image.aladin.co.kr/product/25039/64/cover/8934990309_1.jpg,https://data4library.kr/bookV?seq=5747866
188,189,188,두 번째 엔딩 ,"지은이: 김려령,백온유",창비,2021,9788936434458,03810,,813.7,문학 > 한국문학 > 소설,81,https://image.aladin.co.kr/product/26367/8/cover/8936434454_1.jpg,https://data4library.kr/bookV?seq=5860496
189,190,188,방구석 미술관,조원재 지음,백도씨,2020,9788968332845,03600,2,650.4,"예술 > 회화, 도화 > 회화, 도화",81,https://image.aladin.co.kr/product/25566/91/cover/8968332843_2.jpg,https://data4library.kr/bookV?seq=5799196
190,191,188,아침에는 죽음을 생각하는 것이 좋다 ,지은이: 김영민,어크로스,2018,9791160560640,03100,,818,문학 > 한국문학 > 르포르타주 및 기타,81,https://image.aladin.co.kr/product/17552/27/cover/s622534403_1.jpg,https://data4library.kr/bookV?seq=5247570
191,192,188,"박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음",위즈덤하우스 미디어그룹,2019,9791190065672,03810,,326.7904,사회과학 > 경제학 > 공익사업,81,https://image.aladin.co.kr/product/19237/22/cover/k542635103_1.jpg,https://data4library.kr/bookV?seq=5411694
192,193,193,내일을 위한 내 일 :이다혜 인터뷰집 ,지은이: 이다혜,창비,2021,9788936459413,03190,,337.6,"사회과학 > 사회학, 사회문제 > 여성문제",80,https://image.aladin.co.kr/product/25967/85/cover/8936459414_1.jpg,https://data4library.kr/bookV?seq=5850820
193,194,193,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2016,9788993178692,03300,,340.98,사회과학 > 정치학 > 정치학,80,http://image.aladin.co.kr/product/8864/8/cover/8993178690_1.jpg,https://data4library.kr/bookV?seq=3265201
194,195,193,열두 발자국 ,지은이: 정재승,어크로스,2018,9791160560510,03400,,404,"자연과학 > 자연과학 > 강연집, 수필집, 연설문집",80,https://image.aladin.co.kr/product/15072/28/cover/k072533160_1.jpg,https://data4library.kr/bookV?seq=3767852
195,196,196,심판 ,베르나르 베르베르 지음 ;전미연 옮김,열린책들,2020,9788932920405,03860,,862,문학 > 프랑스문학 > 희곡,79,https://image.aladin.co.kr/product/24919/70/cover/8932920400_1.jpg,https://data4library.kr/bookV?seq=5738734
196,197,196,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,2015,9791130605210,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,79,https://bookthumb-phinf.pstatic.net/cover/090/537/09053751.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=2396935
197,198,196,"안녕, 소중한 사람 :정한경 에세이 ",지은이: 정한경,북로망스,2020,9791197037122,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,79,https://image.aladin.co.kr/product/25152/41/cover/k602633470_1.jpg,https://data4library.kr/bookV?seq=5769269
198,199,199,버드 스트라이크 :구병모 장편소설 ,지은이: 구병모,창비,2019,9788936434359,03810,,813.7,문학 > 한국문학 > 소설,78,https://image.aladin.co.kr/product/18564/54/cover/8936434357_1.jpg,https://data4library.kr/bookV?seq=5374564
199,200,199,어떤 죽음이 삶에게 말했다 :생의 남은 시간이 우리에게 들려주는 것 ,김범석 지음,흐름출판,2021,9788965964230,03810,,814.7,문학 > 한국문학 > 수필,78,https://image.aladin.co.kr/product/26120/62/cover/8965964237_1.jpg,https://data4library.kr/bookV?seq=5850509
